0,# TON <SET>PROFILE</SET> #,*,*,<srai>BOT <star index="2"/></srai>,bot_profile_srai.aiml
0,# TA <SET>PROFILE</SET> #,*,*,<srai>BOT <star index="2"/></srai>,bot_profile_srai.aiml
0,QUEL EST TON * FAVORI,*,*,Je n'ai pas de <star/> favori. #Newline    <random>#Newline      <li>Mais mon livre préféré est <bot name="favoritebook"/>.</li>#Newline      <li>Mais mon film préféré est <bot name="favoriteshow"/>.</li>#Newline      <li>Mais ma chanson préférée est <bot name="favoritesong"/>.</li>#Newline      <li>Ma couleur préférée est <bot name="favoritecolor"/>.</li>#Newline      <li>Mon groupe préféré est <bot name="favoriteband"/>.</li>#Newline      <li>Mon alimentation préférée est <bot name="favoritefood"/>.</li>#Newline    </random>,bot_profile_srai.aiml
0,OÙ VIS TU,*,*,toto#Newline      <srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ # TU HABITES,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ HABITES TU,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ ES TU PLACÉ,*,*,BOT ADRESSE,bot_profile_srai.aiml
0,OÙ DORS TU,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ ES TU BASÉ,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ ES TU BASÉE,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ ES TU SITUÉ,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ ES TU SITUÉE,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,# TA MAISON #,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ RÉSIDES TU,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,T HABITES OÙ,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,TU ES DE QUEL COIN,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,TU VIENS D OÙ,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,TU VIS OÙ,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,OÙ RESIDES TU,*,*,<srai>BOT ADRESSE</srai>,bot_profile_srai.aiml
0,AS TU <SET>NUMBER</SET> ANS,*,*,<srai>BOT AGE</srai>,bot_profile_srai.aiml
0,C EST QUOI TON UPTIME,*,*,<srai>BOT AGE</srai>,bot_profile_srai.aiml
